caller_id,location,category,subcategory,u_symptom,priority,assignment_group
2529,96,45,200,571,3,Group 72
2529,96,45,200,571,3,Group 72
3466,143,9,164,571,3,Group 28
3466,143,9,164,571,3,Group 28
3102,11,17,90,491,3,Group 69
3102,11,17,90,491,3,Group 69
5060,108,34,151,117,3,Group 27
5060,108,34,151,117,3,Group 27
5026,161,46,94,609,2,Group 33
5026,161,46,94,609,2,Group 33
5350,143,37,285,587,2,Group 48
5350,143,37,285,587,2,Group 48
1353,204,53,269,580,2,Group 65
1353,204,53,269,580,2,Group 65
4908,143,9,164,571,2,Group 28
4908,143,9,164,571,2,Group 28
1827,96,42,223,534,2,Group 39
1827,96,42,223,534,2,Group 39
4514,143,42,223,532,2,Group 39
4514,143,42,223,532,2,Group 39
4514,143,42,223,532,2,Group 39
4514,143,42,223,532,2,Group 39
1236,51,46,150,519,2,Group 10
1236,51,46,150,519,2,Group 10
90,125,45,29,512,2,Group 53
90,125,45,29,512,2,Group 53
5583,143,53,127,492,2,Group 65
5583,143,53,127,492,2,Group 65
1775,143,57,305,491,2,Group 35
1775,143,57,305,491,2,Group 35
1270,51,26,275,491,2,Group 30
1270,51,26,275,491,2,Group 30
1663,93,46,255,491,2,Group 39
1663,93,46,255,491,2,Group 39
2079,108,46,251,491,2,Group 22
2079,108,46,251,491,2,Group 22
521,93,46,249,491,2,Group 57
521,93,46,249,491,2,Group 57
21,204,46,247,491,2,Group 57
21,204,46,247,491,2,Group 57
3374,108,46,247,491,2,Group 57
3374,108,46,247,491,2,Group 57
5553,143,46,247,491,2,Group 57
5553,143,46,247,491,2,Group 57
5399,161,57,227,491,2,Group 70
5399,161,57,227,491,2,Group 70
4725,161,42,223,491,2,Group 22
4725,161,42,223,491,2,Group 22
3933,143,46,223,491,2,Group 55
3933,143,46,223,491,2,Group 55
4475,108,46,223,491,2,Group 37
4475,108,46,223,491,2,Group 37
4475,108,46,223,491,2,Group 57
4475,108,46,223,491,2,Group 57
4725,161,46,223,491,2,Group 57
4725,161,46,223,491,2,Group 57
4175,204,42,183,491,2,Group 55
4175,204,42,183,491,2,Group 55
3035,204,26,175,491,2,Group 54
3035,204,26,175,491,2,Group 54
3502,204,9,174,491,2,Group 25
3502,204,9,174,491,2,Group 25
158,161,23,174,491,2,Group 72
158,161,23,174,491,2,Group 72
218,85,23,174,491,2,Group 53
218,85,23,174,491,2,Group 53
643,197,32,174,491,2,Group 30
643,197,32,174,491,2,Group 30
802,143,32,174,491,2,Group 70
802,143,32,174,491,2,Group 70
802,143,32,174,491,2,Group 70
1056,204,37,174,491,2,Group 46
1056,204,37,174,491,2,Group 46
4772,161,37,174,491,2,Group 49
4772,161,37,174,491,2,Group 49
1818,161,38,174,491,2,Group 24
1818,161,38,174,491,2,Group 24
2079,108,38,174,491,2,Group 27
2079,108,38,174,491,2,Group 27
5304,108,38,174,491,2,Group 70
5304,108,38,174,491,2,Group 70
1519,245,46,174,491,2,Group 39
1519,245,46,174,491,2,Group 39
156,161,53,174,491,2,Group 24
156,161,53,174,491,2,Group 24
4514,143,53,174,491,2,Group 70
4514,143,53,174,491,2,Group 70
61,204,61,174,491,2,Group 70
61,204,61,174,491,2,Group 70
1332,161,19,163,491,2,Group 24
1332,161,19,163,491,2,Group 24
330,143,20,125,491,2,Group 66
330,143,20,125,491,2,Group 66
3466,143,37,123,491,2,Group 48
3466,143,37,123,491,2,Group 48
1970,93,53,109,491,2,Group 57
1970,93,53,109,491,2,Group 57
2331,224,17,90,491,2,Group 69
2331,224,17,90,491,2,Group 69
3102,51,17,90,491,2,Group 69
3102,51,17,90,491,2,Group 69
2473,55,53,80,491,2,Group 70
2473,55,53,80,491,2,Group 70
2431,204,46,72,491,2,Group 10
2431,204,46,72,491,2,Group 10
3966,18,40,44,491,2,Group 54
3966,18,40,44,491,2,Group 54
4191,37,61,36,491,2,Group 73
4191,37,61,36,491,2,Group 73
1818,161,42,29,491,2,Group 72
1818,161,42,29,491,2,Group 72
3072,33,61,16,491,2,Group 73
3072,33,61,16,491,2,Group 73
2814,204,55,170,486,2,Group 65
2814,204,55,170,486,2,Group 65
4797,204,9,164,470,2,Group 23
4797,204,9,164,470,2,Group 23
104,15,23,3,470,2,Group 20
104,15,23,3,470,2,Group 20
2415,51,23,3,470,2,Group 30
2415,51,23,3,470,2,Group 30
2645,204,23,3,470,2,Group 25
2645,204,23,3,470,2,Group 25
3761,187,23,3,470,2,Group 72
3761,187,23,3,470,2,Group 72
5279,143,45,107,469,2,Group 22
5279,143,45,107,469,2,Group 22
4175,204,34,134,465,2,Group 23
4175,204,34,134,465,2,Group 23
4487,51,61,16,463,2,Group 75
4487,51,61,16,463,2,Group 75
4463,93,42,31,424,2,Group 3
4463,93,42,31,424,2,Group 3
4734,43,42,29,423,2,Group 55
4734,43,42,29,423,2,Group 55
3889,204,51,301,391,2,Group 56
3889,204,51,301,391,2,Group 56
1110,29,53,80,391,2,Group 70
1110,29,53,80,391,2,Group 70
2920,161,26,275,371,2,Group 70
2920,161,26,275,371,2,Group 70
5134,143,46,88,320,2,Group 31
5134,143,46,88,320,2,Group 31
4205,143,57,170,296,2,Group 65
4205,143,57,170,296,2,Group 65
3351,108,53,82,296,2,Group 66
3351,108,53,82,296,2,Group 66
2802,204,53,34,296,2,Group 65
2802,204,53,34,296,2,Group 65
2001,204,46,246,293,2,Group 57
2001,204,46,246,293,2,Group 57
2918,93,45,150,287,2,Group 10
2918,93,45,150,287,2,Group 10
4725,161,46,231,263,2,Group 37
4725,161,46,231,263,2,Group 37
4881,161,46,231,263,2,Group 55
4881,161,46,231,263,2,Group 55
1612,42,44,57,261,2,Group 5
1612,42,44,57,261,2,Group 5
3628,161,46,261,258,2,Group 65
3628,161,46,261,258,2,Group 65
3484,179,45,220,256,2,Group 70
3484,179,45,220,256,2,Group 70
3484,179,45,220,256,2,Group 70
3484,179,45,220,256,2,Group 70
3136,143,45,200,245,2,Group 57
3136,143,45,200,245,2,Group 57
4391,111,57,170,239,2,Group 65
4391,111,57,170,239,2,Group 65
2899,108,46,247,227,2,Group 57
2899,108,46,247,227,2,Group 57
4039,108,46,247,227,2,Group 57
4039,108,46,247,227,2,Group 57
3327,204,46,251,218,2,Group 6
3327,204,46,251,218,2,Group 6
4808,161,46,251,218,2,Group 22
4808,161,46,251,218,2,Group 22
707,144,53,80,209,2,Group 57
707,144,53,80,209,2,Group 57
1531,204,26,175,208,2,Group 70
1531,204,26,175,208,2,Group 70
4523,204,53,80,208,2,Group 57
4523,204,53,80,208,2,Group 57
4797,204,61,16,121,2,Group 73
4797,204,61,16,121,2,Group 73
4797,204,61,16,121,2,Group 73
4797,204,61,16,121,2,Group 73
449,112,26,175,120,2,Group 70
449,112,26,175,120,2,Group 70
3200,161,26,175,120,2,Group 70
3200,161,26,175,120,2,Group 70
1228,204,37,135,118,2,Group 25
1228,204,37,135,118,2,Group 25
4062,108,37,135,118,2,Group 47
